scenario missing freq.st1 freq.st2 freq.st3 freq.st4 freq.st5 Theta.FuLi.Syn Theta.FuLi.Nsyn Theta.Watt.Syn Theta.Watt.Nsyn Theta.Taji.Syn Theta.Taji.Nsyn Theta.FayWu.Syn Theta.FayWu.Nsyn Theta.vhf.Syn Theta.vhf.Nsyn Div.Syn Div.Nsyn
SLiM_04_sum.txt_boot_009.txt 0.1 0.0223 0.2237 0.3408 0.6592 0.856 53580 75291 38210.7531254246 49194.8600318798 30441.582767769 37244.0631851455 24745.091174373 36601.9278057873 25031.0215674393 49608.4907881723 115649 274515
SLiM_04_sum.txt_boot_009.txt 0.25 0.0268 0.2325 0.3423 0.6577 0.8485 52498 73037 37587.3891876024 48124.6781820971 30444.7956993029 37233.2109883808 24797.7455182203 36360.5261147989 24967.7295973937 47936.5537472376 115762 274810
SLiM_04_sum.txt_boot_009.txt 0.5 0.0405 0.2546 0.3468 0.6532 0.8291 49992 66687 36097.7564513843 45686.0816961222 30435.9292745407 37267.5973712264 24809.6111854486 35620.6179066405 24413.903350137 43657.7222777079 116141 275657
SLiM_04_sum.txt_boot_009.txt 0.75 0.0829 0.3015 0.361 0.639 0.7835 44361 56825 33669.8992375608 41991.7774299873 30441.4892660904 37259.6571403031 25047.0005155233 34616.2347139065 24143.4524247029 38268.7642149323 117238 277769
SLiM_04_sum.txt_boot_009.txt 0.9 0.2045 0.381 0.4015 0.5985 0.6882 35071 43370 30055.3447914055 37225.5640894598 29236.5379426104 36075.6689846082 25732.2808552565 33079.7395818246 24794.4032015859 32883.1489536714 122188 284999
SLiM_04_sum.txt_boot_010.txt 0 0.02 0.2188 0.34 0.66 0.86 53814 77121 38571.573962407 49991.233508492 30449.2995918405 37391.2742857233 24371.5167346967 36625.4195918374 24209.3389505152 50388.2531370899 114968 274774
SLiM_04_sum.txt_boot_010.txt 0.1 0.0223 0.2236 0.3408 0.6592 0.856 53364 75575 38228.1357732628 49303.9169757216 30457.2885992132 37377.9775693597 24386.0563330448 36511.6038831739 24228.9597070243 49637.6804974905 115015 274918
SLiM_04_sum.txt_boot_010.txt 0.25 0.0268 0.2325 0.3423 0.6577 0.8485 52601 73302 37619.3555207442 48271.3622948918 30459.49077773 37395.3070133101 24408.0835029006 36193.6052700041 23867.9771278725 47630.608809149 115127 275228
SLiM_04_sum.txt_boot_010.txt 0.5 0.0406 0.2547 0.3469 0.6531 0.8291 50221 67064 36203.9363032764 45863.5405019218 30436.8869122783 37401.5041881033 24515.3329248525 35559.7837576053 24296.4148483002 43697.8097598421 115450 276052
SLiM_04_sum.txt_boot_010.txt 0.75 0.083 0.3017 0.361 0.639 0.7834 44598 56626 33733.9386412843 42067.4957389531 30489.5328922139 37415.5771514634 24849.2318992944 34411.5613062153 23744.2380311891 37669.5696725333 116568 278238
SLiM_04_sum.txt_boot_010.txt 0.9 0.205 0.3813 0.4017 0.5983 0.6879 35494 43387 30306.2637670001 37355.2508992124 29499.457603505 36224.5673049157 25637.7016705525 33122.2828671339 24486.3346309798 32878.7504003853 121471 285357
SLiM_04_sum.txt_boot_011.txt 0 0.02 0.2188 0.34 0.66 0.86 54032 76577 38701.0612165512 49903.7179850015 30427.9706122493 37395.0906122549 24127.1314285744 36871.6848979595 23266.9798609168 50699.0889730152 115639 274899
SLiM_04_sum.txt_boot_011.txt 0.1 0.0223 0.2236 0.3408 0.6592 0.856 53749 75138 38355.9814833383 49258.5447452839 30424.7233531562 37394.2497941593 24147.2373115403 36751.6834806635 23215.6355912369 49912.8126786019 115694 275040
SLiM_04_sum.txt_boot_011.txt 0.25 0.0268 0.2325 0.3423 0.6577 0.8485 52765 72716 37707.7717375159 48205.7569246066 30422.5535333004 37401.1605780648 24210.3683026348 36506.6398833555 23575.0437869227 48312.1198705533 115786 275330
SLiM_04_sum.txt_boot_011.txt 0.5 0.0405 0.2546 0.3468 0.6532 0.8291 50455 66782 36275.4981390317 45733.8913181222 30432.4670109087 37346.0829398356 24309.3311813624 35764.8024799391 23595.0650966514 44100.8433627078 116128 276217
SLiM_04_sum.txt_boot_011.txt 0.75 0.0828 0.3015 0.3609 0.6391 0.7836 44604 56717 33738.8256952494 42103.5685432382 30428.3496472708 37417.4333632463 24633.8044691464 34594.848852624 23496.84748287 37855.0769399305 117200 278391
SLiM_04_sum.txt_boot_011.txt 0.9 0.2044 0.381 0.4015 0.5985 0.6883 35778 43461 30304.1164673498 37386.5736121749 29418.8661513299 36223.2194583181 25507.3853443949 33260.8262015769 24425.2557852352 33212.2316531771 122066 285593
SLiM_04_sum.txt_boot_012.txt 0 0.02 0.2188 0.34 0.66 0.86 53613 76915 38487.6305010997 50056.4236433371 30293.2008163297 37487.3110204169 24317.1257142886 36882.2400000002 24098.5697020361 50878.6573242809 115286 274592
SLiM_04_sum.txt_boot_012.txt 0.1 0.0223 0.2236 0.3408 0.6592 0.856 53038 75357 38132.9892800454 49396.6616873115 30292.0397207423 37467.1720469197 24330.7276465617 36719.8310707615 24018.7668223916 49970.0377448884 115342 274755
SLiM_04_sum.txt_boot_012.txt 0.25 0.0268 0.2325 0.3423 0.6577 0.8485 52304 72702 37486.8592326078 48288.6499809703 30296.3581694731 37499.5358051784 24322.6073383814 36498.0136023471 23673.619398518 47880.2574843937 115474 275040
SLiM_04_sum.txt_boot_012.txt 0.5 0.0405 0.2546 0.3468 0.6532 0.8291 50150 67254 36090.5268449247 45967.1023844919 30288.5983298659 37514.3033228327 24411.9009178053 35759.9613697567 23679.1909735731 43752.095391373 115807 275874
SLiM_04_sum.txt_boot_012.txt 0.75 0.0829 0.3015 0.361 0.639 0.7835 44184 56645 33478.4440804767 42099.9855213848 30227.6389085141 37445.5111587415 24909.899217181 34644.5008694682 24184.4081558359 38155.1600919145 116821 278026
SLiM_04_sum.txt_boot_012.txt 0.9 0.2049 0.3812 0.4016 0.5984 0.688 35443 43089 30193.8372199785 37213.4716347403 29356.0521311993 36101.3917340814 25685.3326617834 33153.2268612113 24695.1462362381 33090.8225703086 121750 285353
SLiM_04_sum.txt_boot_013.txt 0 0.02 0.2188 0.34 0.66 0.86 54126 77225 38768.0373824878 49984.0893841255 30454.4514285755 37338.5175510295 24133.8342857171 36751.3600000003 23672.0866337755 50732.8778443896 114813 274467
SLiM_04_sum.txt_boot_013.txt 0.1 0.0223 0.2236 0.3408 0.6592 0.856 53726 75749 38431.8482599713 49346.9622279939 30472.5927688364 37340.6739297475 24175.1165694913 36625.5689048198 23767.4787331089 49915.3072813601 114852 274625
SLiM_04_sum.txt_boot_013.txt 0.25 0.0268 0.2325 0.3423 0.6577 0.8485 53109 73182 37807.0375946128 48243.5562812647 30456.5026531517 37326.7220393867 24149.9877163346 36332.1448511738 23374.9844763932 48057.0815280559 115003 274923
SLiM_04_sum.txt_boot_013.txt 0.5 0.0405 0.2547 0.3468 0.6532 0.8291 50618 67092 36359.0418759017 45766.5031095437 30505.6494956073 37326.0150099724 24245.0041068031 35587.7757922472 23377.6256459202 43630.2823753434 115329 275803
SLiM_04_sum.txt_boot_013.txt 0.75 0.0829 0.3015 0.361 0.639 0.7836 44947 56475 33831.843478561 41955.9217036122 30501.689908996 37300.588543276 24611.51285054 34431.1985276868 23360.0105936547 37865.2857659271 116344 277914
